,Company,Name,Model,Kms_Driven,Model Year,Reg Year,City,Engine Capacity,Insurance,Automatic,Power,Fuel Type,Ownership,Number of Seats,Mileage,X-factor,Price
0,Maruti,Baleno,"['1.2', 'Alpha']",40000,2017,2017,Agra,1197,1,False,83.1,0,1,5,21.4,Hatchback,545000
1,Tata,Hexa,['XTA'],70000,2018,2018,Agra,2179,1,True,153.86,1,1,7,17.6,MUV,1000000
2,Maruti,Swift,"['Dzire', 'VXI']",70000,2015,2015,Agra,1197,1,False,83.14,0,2,5,20.85,Sedan,450000
3,Maruti,Swift,"['Dzire', 'VXI']",70000,2015,2015,Agra,1197,1,False,83.14,0,2,5,20.85,Sedan,450000
4,Hyundai,i10,"['Magna', '1.1']",80000,2009,2009,Agra,1086,1,False,68.05,0,1,5,19.81,Hatchback,160000
5,Hyundai,i20,"['Active', '1.2']",70000,2015,2015,Agra,1197,1,False,81.86,0,1,5,17.19,Hatchback,470000
6,Tata,Tiago,"['1.05', 'Revotorq', 'XZ']",120000,2017,2017,Agra,1047,1,False,69.0,1,1,5,27.28,Hatchback,360000
7,Hyundai,i10,"['Magna', '1.1']",60000,2010,2010,Agra,1086,1,False,68.05,0,2,5,19.81,Hatchback,200000
8,Maruti,Eeco,"['7', 'Seater', 'Standard', 'BSIV']",20000,2016,2016,Agra,1196,1,False,73.0,0,1,7,15.37,Minivans,370000
10,Honda,Amaze,"['E', 'i-Vtech']",70000,2014,2014,Agra,1198,1,False,86.7,0,1,5,18.0,Sedan,330000
11,Hyundai,Xcent,"['1.2', 'VTVT', 'SX']",60000,2018,2018,Agra,1197,1,False,81.86,0,2,5,20.14,Sedan,475000
12,Maruti,Ciaz,"['Sigma', 'BSIV']",50000,2020,2020,Agra,1462,1,False,103.25,0,3,5,21.56,Sedan,686000
13,Hyundai,Venue,"['SX', 'Opt', 'Executive', 'Diesel']",60000,2021,2021,Agra,1493,1,False,98.6,1,1,5,23.7,SUV,1250000
14,Hyundai,Venue,"['SX', 'Dual', 'Tone', 'Diesel', 'BSIV']",60000,2021,2021,Agra,1396,1,False,89.0,1,1,5,23.7,SUV,1100000
15,Maruti,Alto,"['K10', 'VXI', 'AGS', 'Optional']",20000,2019,2019,Agra,998,1,True,67.1,0,1,5,23.95,Hatchback,395000
16,Maruti,Wagon,"['R', 'LXI', 'CNG']",40000,2016,2016,Agra,998,1,False,58.16,2,1,5,26.6,Hatchback,350000
17,Toyota,Etios,['VX'],50000,2011,2011,Agra,1496,1,False,88.7,0,2,5,17.6,Sedan,289000
18,Toyota,Corolla,"['Altis', 'Diesel', 'D4DGL']",150000,2011,2011,Agra,1364,1,False,87.2,1,1,5,21.43,Sedan,282000
19,Kia,Sonet,"['HTX', 'Plus', 'Turbo', 'iMT', 'BSVI']",10000,2021,2021,Agra,998,1,False,118.36,0,1,5,18.2,SUV,1000000
20,Maruti,Ciaz,"['Alpha', 'BSVI']",30000,2020,2020,Agra,1462,1,False,103.25,0,2,5,20.65,Sedan,785000
21,Ford,Ecosport,"['1.5', 'DV5', 'MT', 'Ambiente']",150000,2014,2014,Agra,1498,1,False,89.84,1,3,5,22.7,SUV,300000
22,Mitsubishi,Outlander,['2.4'],80000,2011,2011,Agra,2360,1,True,170.0,0,2,5,11.3,SUV,397000
23,Maruti,Swift,"['Dzire', 'VDI']",20000,2015,2015,Agra,1248,1,False,74.0,1,1,5,26.59,Sedan,375000
24,Maruti,Alto,"['K10', 'LXI']",120000,2011,2011,Agra,998,1,False,67.1,0,3,5,20.92,Hatchback,100000
25,Mitsubishi,Outlander,['2.4'],80000,2011,2011,Agra,2360,1,True,170.0,0,2,5,11.3,SUV,397000
26,Maruti,Baleno,['Zeta'],40000,2021,2021,Agra,1197,1,False,81.8,0,1,5,21.01,Hatchback,675000
27,Hyundai,Xcent,"['1.2', 'VTVT', 'SX']",60000,2018,2018,Agra,1197,1,False,81.86,0,2,5,20.14,Sedan,465000
28,Maruti,Swift,"['Dzire', 'VXI']",80000,2015,2015,Agra,1197,1,False,83.14,0,2,5,20.85,Sedan,480000
29,Maruti,Alto,"['800', 'LXI']",100000,2014,2014,Agra,796,1,False,47.3,0,1,5,22.74,Hatchback,225000
30,Maruti,Wagon,"['R', 'VXI', 'Optional']",70000,2016,2016,Agra,998,1,False,67.04,0,2,5,20.51,Hatchback,320000
31,Hyundai,Grand,"['i10', 'Sportz']",30000,2015,2015,Agra,1197,1,False,82.0,0,1,5,18.9,Hatchback,415000
32,Maruti,Swift,['VDI'],120000,2012,2012,Agra,1248,1,False,74.0,1,3,5,22.9,Hatchback,240000
33,Mahindra,XUV500,"['W6', '2WD']",100000,2013,2013,Agra,2179,1,False,140.0,1,3,7,15.1,SUV,350000
34,Mahindra,XUV500,"['W6', '2WD']",100000,2013,2013,Agra,2179,1,False,140.0,1,3,7,15.1,SUV,350000
35,Tata,New,"['Safari', 'DICOR', '2.2', 'EX', '4x2']",90000,2013,2013,Agra,2179,1,False,138.1,1,2,7,11.57,SUV,296000
36,Tata,New,"['Safari', 'DICOR', '2.2', 'EX', '4x2']",90000,2013,2013,Agra,2179,1,False,138.1,1,2,7,11.57,SUV,296000
37,Tata,Tiago,"['1.2', 'Revotron', 'XE']",100000,2018,2018,Agra,1199,1,False,84.0,0,1,5,23.84,Hatchback,316000
38,Maruti,Vitara,"['Brezza', 'ZDi', 'Plus', 'Dual', 'Tone']",100000,2017,2017,Agra,1248,1,False,88.5,1,2,5,24.3,SUV,750000
39,Maruti,Ertiga,['VDI'],120000,2019,2019,Agra,1248,1,False,88.5,1,1,7,25.47,MUV,900000
40,Maruti,Celerio,"['VXI', 'BSVI']",10000,2022,2022,Agra,998,1,False,65.71,0,1,5,25.24,Hatchback,560000
41,Maruti,Vitara,"['Brezza', 'ZDi', 'Plus']",150000,2017,2017,Agra,1248,1,False,88.5,1,1,5,24.3,SUV,800000
42,Hyundai,Creta,"['1.4', 'E', 'Plus']",120000,2017,2017,Agra,1396,1,False,88.7,1,2,5,22.1,SUV,900000
43,Maruti,Alto,"['800', 'LXI']",80000,2019,2019,Agra,796,1,False,47.33,0,1,5,22.05,Hatchback,280000
44,Toyota,Innova,"['2.5', 'E', 'Diesel', 'MS', '7-seater']",90000,2013,2013,Agra,2494,1,False,100.6,1,2,7,11.4,Toyota,550000
45,Toyota,Innova,"['2.5', 'G', '(Diesel)', '7', 'Seater', 'BS', 'III']",150000,2009,2009,Agra,2494,1,False,102.0,1,1,8,12.8,MUV,250000
46,Tata,Manza,"['Aqua', 'Quadrajet']",150000,2011,2011,Agra,1248,1,False,90.0,1,1,5,18.8,Sedan,150000
47,Tata,Manza,"['Aqua', 'Quadrajet']",150000,2011,2011,Agra,1248,1,False,90.0,1,1,5,18.8,Sedan,150000
48,Hyundai,Grand,"['i10', '1.2', 'CRDi', 'Sportz', 'Option']",20000,2017,2017,Agra,1186,1,False,73.97,1,1,5,24.0,Hatchback,480000
49,Maruti,Eeco,"['CNG', '5', 'Seater', 'AC', 'BSIV']",150000,2017,2017,Agra,1196,1,False,61.7,2,1,5,21.94,Minivans,300000
50,Maruti,Eeco,"['CNG', '5', 'Seater', 'AC', 'BSIV']",150000,2017,2017,Agra,1196,1,False,61.7,2,1,5,21.94,Minivans,300000
51,Maruti,Eeco,"['CNG', '5', 'Seater', 'AC', 'BSIV']",150000,2017,2017,Agra,1196,1,False,61.7,2,1,5,21.94,Minivans,300000
52,Audi,A4,"['2.0', 'TDI']",30000,2014,2014,Agra,1968,1,True,147.51,1,2,5,16.55,Sedan,1200000
53,Hyundai,i20,"['Sportz', 'BSVI']",10000,2022,2022,Agra,1197,1,False,81.8,0,1,5,21.0,Hatchback,800000
54,Volkswagen,Polo,"['Diesel', 'Trendline', '1.2L']",80000,2012,2012,Agra,1199,1,False,73.9,1,5,5,22.07,Hatchback,200000
55,Maruti,Vitara,"['Brezza', 'VDi']",80000,2019,2019,Agra,1248,1,False,88.5,1,2,5,24.3,SUV,740000
56,Hyundai,Santro,"['Xing', 'GLS']",30000,2009,2009,Agra,1086,1,False,62.1,0,1,5,17.92,Hatchback,150000
57,Maruti,Swift,"['Dzire', 'VDI']",30000,2016,2016,Agra,1248,1,False,74.0,1,1,5,26.59,Sedan,520000
58,Hyundai,i10,"['Sportz', '1.2']",80000,2010,2010,Agra,1197,1,False,78.9,0,3,5,20.36,Hatchback,170000
59,Hyundai,Venue,"['S', 'BSIV']",30000,2021,2021,Agra,1197,1,False,81.86,0,1,5,17.52,SUV,710000
60,Skoda,Rapid,"['1.0', 'TSI', 'Onyx']",20000,2021,2021,Agra,999,1,False,108.62,0,1,5,18.97,Sedan,950000
61,Ford,Figo,"['Diesel', 'ZXI']",70000,2013,2013,Agra,1399,1,False,68.05,1,1,5,20.0,Hatchback,240000
62,Skoda,Rapid,"['1.0', 'TSI', 'Onyx']",20000,2021,2021,Agra,999,1,False,108.62,0,1,5,18.97,Sedan,930000
63,MG,Hector,"['Plus', 'Select', 'Diesel', 'MT', '7', 'STR']",20000,2022,2022,Agra,1956,1,False,167.67,1,1,7,16.56,SUV,1922000
64,Hyundai,EON,"['D', 'Lite']",50000,2013,2013,Agra,814,1,False,55.2,0,2,5,21.1,Hatchback,150000
65,Hyundai,Grand,"['i10', 'Magna']",30000,2015,2015,Agra,1197,1,False,82.0,0,1,5,18.9,Hatchback,380000
66,Tata,Punch,"['Adventure', 'BSVI']",30000,2021,2021,Agra,1199,1,False,86.63,0,1,5,20.09,SUV,590000
67,Volkswagen,Polo,"['1.5', 'TDI', 'Comfortline']",150000,2016,2016,Agra,1498,1,False,88.0,1,1,5,20.14,Hatchback,400000
68,Toyota,Etios,"['Liva', 'GD']",40000,2013,2013,Agra,1364,1,False,67.06,1,1,5,23.59,Hatchback,300000
69,Renault,Duster,"['85PS', 'Diesel', 'RxE']",120000,2017,2017,Agra,1461,1,False,83.8,1,1,5,19.87,SUV,500000
70,Maruti,Alto,"['800', 'LXI']",20000,2015,2015,Agra,796,1,False,47.3,0,1,5,22.74,Hatchback,210000
71,Maruti,Wagon,"['R', 'LX', 'Minor']",90000,2009,2009,Agra,998,1,False,67.1,0,2,5,18.9,Hatchback,100000
72,Mahindra,XUV500,"['W10', '2WD']",50000,2015,2015,Agra,2179,1,False,140.0,1,1,7,16.0,SUV,900000
73,Kia,Seltos,"['HTX', 'Diesel']",70000,2020,2020,Agra,1493,1,False,113.43,1,1,5,20.8,SUV,1349000
74,Maruti,Swift,"['Dzire', 'VDI']",50000,2019,2019,Agra,1248,1,False,74.02,1,1,5,28.4,Sedan,650000
75,Maruti,Wagon,"['R', 'LXI']",20000,2019,2019,Agra,998,1,False,67.05,0,1,5,21.79,Hatchback,475000
76,Nissan,Terrano,"['XE', '85', 'PS']",90000,2014,2014,Agra,1461,1,False,83.8,1,2,5,20.45,SUV,320000
77,Maruti,Swift,"['Dzire', 'VDI']",50000,2019,2019,Agra,1248,1,False,74.02,1,1,5,28.4,Sedan,650000
78,Hyundai,Grand,"['i10', 'Sportz']",60000,2015,2015,Agra,1197,1,False,82.0,0,2,5,18.9,Hatchback,370000
79,Maruti,Wagon,"['R', 'LXI', 'Minor']",90000,2009,2009,Agra,1061,1,False,67.0,0,2,5,18.9,Hatchback,110000
80,Chevrolet,Spark,"['1.0', 'LT', 'Option', 'Pack']",60000,2009,2009,Agra,995,1,False,63.0,0,2,5,16.0,Hatchback,50000
81,Ford,Figo,"['Titanium', 'Diesel']",60000,2020,2020,Agra,1499,1,False,98.96,1,2,5,24.4,Hatchback,550000
82,Honda,Jazz,"['1.5', 'E', 'i', 'DTEC']",90000,2015,2015,Agra,1498,1,False,98.6,1,2,5,27.3,Hatchback,390000
83,Hyundai,i10,"['Magna', '1.1L']",20000,2017,2017,Agra,1086,1,False,68.05,0,2,5,19.81,Hatchback,250000
84,Maruti,Alto,"['800', 'VXI']",80000,2013,2013,Agra,796,1,False,47.3,0,1,5,22.74,Hatchback,200000
85,Maruti,Swift,"['Dzire', 'VXI', 'BSVI']",10000,2022,2022,Agra,1197,1,False,88.5,0,1,5,22.41,Sedan,725000
86,Honda,Jazz,"['1.5', 'V', 'i', 'DTEC']",110000,2017,2017,Agra,1498,1,False,98.6,1,1,5,27.3,Hatchback,450000
87,Honda,City,"['i-DTEC', 'ZX']",120000,2017,2017,Agra,1498,1,False,97.9,1,1,5,25.6,Sedan,750000
89,Maruti,Alto,"['800', 'VXI']",80000,2013,2013,Agra,796,1,False,47.3,0,1,5,22.74,Hatchback,206000
90,Mahindra,XUV500,"['W8', '2WD']",120000,2015,2015,Agra,2179,1,False,140.0,1,1,7,16.0,SUV,550000
91,Maruti,Wagon,"['R', 'LXI', 'CNG']",150000,2012,2012,Agra,998,1,False,58.2,2,1,5,26.2,Hatchback,250000
92,Maruti,Alto,"['800', 'VXI']",80000,2013,2013,Agra,796,1,False,47.3,0,1,5,22.74,Hatchback,210000
94,Renault,KWID,['RXL'],60000,2016,2016,Agra,799,1,False,53.3,0,2,5,25.17,Hatchback,185000
95,Hyundai,Grand,"['i10', 'Sportz']",70000,2014,2014,Agra,1197,1,False,82.0,0,3,5,18.9,Hatchback,300000
96,Chevrolet,Spark,"['1.0', 'LT']",60000,2009,2009,Agra,995,1,False,62.0,0,3,5,18.0,Hatchback,50000
